[252.9902, 304.57568;
 219.91783, 311.2822;
 227.41383, 320.9422;
 217.71623, 306.22626;
 223.14726, 312.0722;
 282.26816, 294.32712;
 293.32529, 286.98419;
 335.48834, 320.59332;
 300.26923, 300.32291;
 302.04959, 293.60703;
 236.52135, 299.53918;
 323.54169, 312.47589;
 294.97906, 280.75055;
 277.16293, 298.90094;
 280.384, 276.0321;
 289.40561, 292.65506;
 314.65921, 312.24469;
 312.23074, 302.00818;
 336.7583, 323.0596;
 274.43243, 282.28799;
 305.68631, 362.33984;
 210.88393, 304.45953;
 224.43001, 327.66629;
 293.13544, 275.13187;
 287.84311, 276.62891;
 316.99631, 289.01321;
 211.73781, 292.13483;
 216.76041, 298.84595;
 316.51804, 290.25552;
 321.55713, 291.50073;
 336.45609, 297.58075;
 330.31674, 292.97202;
 330.36636, 301.20758;
 280.86487, 372.75034;
 330.68097, 332.75964;
 290.09912, 285.48907;
 351.83411, 332.6514;
 292.48099, 276.83569;
 329.00861, 298.38583;
 335.7659, 295.13388;
 346.23877, 322.8244;
 331.18484, 302.79999;
 344.18695, 309.31186;
 337.67508, 361.96738;
 268.00534, 300.05402;
 313.1221, 309.47009;
 270.08286, 295.17621;
 273.41635, 294.07556;
 317.08932, 306.76147;
 233.61536, 305.5607;
 246.40881, 290.25012;
 284.4682, 274.11566;
 255.0654, 362.44461;
 284.11639, 290.49585;
 286.00745, 286.01611;
 278.11279, 308.23618;
 218.99522, 295.98294;
 308.3472, 291.77551;
 284.3938, 271.72583;
 335.18491, 304.22113;
 280.22107, 287.6384;
 231.87077, 305.44867;
 289.49115, 275.19043;
 277.81522, 280.41852;
 258.87195, 281.59128;
 243.05272, 334.89505;
 341.43002, 302.67691;
 207.11792, 296.79889;
 234.67346, 295.651;
 219.9783, 301.76096;
 262.33673, 285.06207;
 287.90359, 273.38351;
 272.35492, 277.24396;
 258.66995, 280.86078;
 288.82297, 370.69867;
 278.92227, 361.68271;
 210.58794, 296.68338;
 263.59464, 285.1199;
 282.20645, 274.77109;
 284.49292, 272.34903;
 289.53723, 276.40863;
 299.55206, 277.82605;
 366.34348, 331.53949;
 324.34741, 288.0484;
 348.12238, 339.72015;
 313.53345, 355.34375;
 314.40829, 292.56247;
 324.64142, 301.29932;
 327.07178, 302.43466;
 359.69168, 333.75262;
 353.1629, 340.36584;
 362.77777, 325.75021;
 358.59369, 326.05429;
 226.55147, 305.68808;
 251.9523, 295.61078;
 306.80484, 288.48306;
 281.93329, 281.15213;
 296.17349, 278.81155;
 290.0842, 280.53287;
 287.44232, 268.69977;
 279.17752, 360.53607;
 295.22137, 359.95715;
 382.0282, 339.46445;
 224.49373, 304.88818;
 265.48798, 355.5788;
 274.72653, 364.20245;
 338.18262, 336.50162;
 271.06992, 339.20343;
 268.44974, 359.05911;
 342.52615, 322.2583;
 315.26532, 291.99374;
 366.33981, 323.17593;
 248.06541, 309.80688;
 255.61987, 298.10303;
 245.67838, 302.01758;
 298.74954, 282.69846;
 293.6994, 283.86984;
 287.09616, 280.08362;
 260.69293, 274.35831;
 264.1713, 270.99091;
 284.15973, 280.12091;
 305.88681, 284.56842;
 280.01367, 281.93613;
 317.7724, 292.41068;
 362.68539, 323.06937;
 306.84241, 282.32135;
 307.1459, 278.68582;
 335.71115, 343.21014;
 332.45416, 299.03336;
 363.73788, 343.78308;
 349.40482, 315.02353;
 239.54903, 310.32346;
 220.17732, 308.24911;
 212.73784, 298.7132;
 229.00142, 299.56537;
 227.27657, 315.63892;
 224.93407, 298.30411;
 213.47505, 299.82254;
 283.99603, 307.31546;
 273.0271, 288.61115;
 252.14027, 275.99725;
 295.94595, 282.7998;
 304.12286, 288.37619;
 325.74017, 297.93646;
 219.98654, 301.31479;
 222.76872, 295.74533;
 213.49706, 294.74103;
 222.29352, 279.52109;
 203.20155, 296.45114;
 202.54257, 288.97809;
 287.85312, 269.64212;
 211.26715, 291.52448;
 273.82309, 346.34937;
 283.05063, 353.88165;
 319.24454, 293.44547;
 352.87637, 331.21725;
 361.52737, 326.13062;
 319.22791, 349.87665;
 331.31393, 336.46545;
 217.33791, 297.93011;
 235.8949, 297.73914;
 217.40251, 286.4549;
 264.19458, 338.25708;
 230.68138, 295.85007;
 271.2099, 355.27655;
 220.21631, 289.44669;
